gameId,playId,nflId,frameId,time,jerseyNumber,team,playDirection,x,y,s,a,dis,o,dir,event
2021090900,2441,25511.0,1,2021-09-10T02:05:02.300,12.0,TB,left,65.06,29.18,0.06,0.94,0.01,266.93,288.0,None
2021090900,2441,25511.0,2,2021-09-10T02:05:02.400,12.0,TB,left,65.06,29.18,0.05,0.85,0.0,266.93,90.52,None
2021090900,2441,25511.0,3,2021-09-10T02:05:02.500,12.0,TB,left,65.08,29.17,0.21,0.94,0.02,266.93,97.52,None
2021090900,2441,25511.0,4,2021-09-10T02:05:02.600,12.0,TB,left,65.11,29.17,0.38,1.08,0.03,265.24,92.95,None
2021090900,2441,25511.0,5,2021-09-10T02:05:02.700,12.0,TB,left,65.17,29.18,0.58,1.26,0.05,265.24,88.17,None
2021090900,2441,25511.0,6,2021-09-10T02:05:02.800,12.0,TB,left,65.25,29.19,0.86,1.59,0.08,272.01,80.77,ball_snap
2021090900,2441,25511.0,7,2021-09-10T02:05:02.900,12.0,TB,left,65.35,29.21,1.11,1.71,0.1,276.72,79.14,None
2021090900,2441,25511.0,8,2021-09-10T02:05:03.000,12.0,TB,left,65.46,29.23,1.23,1.44,0.11,281.21,78.4,None
2021090900,2441,25511.0,9,2021-09-10T02:05:03.100,12.0,TB,left,65.59,29.25,1.43,1.4,0.14,285.87,78.9,None
2021090900,2441,25511.0,10,2021-09-10T02:05:03.200,12.0,TB,left,65.74,29.27,1.59,1.21,0.15,293.56,81.82,None
2021090900,2441,25511.0,11,2021-09-10T02:05:03.300,12.0,TB,left,65.93,29.29,1.88,1.46,0.19,298.52,85.04,None
2021090900,2441,25511.0,12,2021-09-10T02:05:03.400,12.0,TB,left,66.14,29.3,2.13,1.6,0.21,307.51,86.66,None
2021090900,2441,25511.0,13,2021-09-10T02:05:03.500,12.0,TB,left,66.38,29.31,2.45,1.79,0.24,319.18,88.35,None
2021090900,2441,25511.0,14,2021-09-10T02:05:03.600,12.0,TB,left,66.65,29.31,2.72,1.78,0.26,326.43,89.5,None
