Unnamed: 0,gameId,playId,nflId,frameId,time,jerseyNumber,team,playDirection,x,y,s,a,dis,o,dir,event,x_interp,y_interp
39974,2021090900,2279,35441.0,1,2021-09-10T01:58:48.100,93.0,TB,right,89.22,23.64,0.11,0.06,0.01,287.4,89.48,None,,
39974,2021090900,2279,35441.0,2,2021-09-10T01:58:48.100,93.0,TB,right,89.235,23.625,0.11,0.06,0.01,287.4,89.48,None,,
39975,2021090900,2279,35441.0,3,2021-09-10T01:58:48.200,93.0,TB,right,89.25,23.61,0.15,0.01,0.03,287.4,107.5,None,,
39976,2021090900,2279,35441.0,4,2021-09-10T01:58:48.300,93.0,TB,right,89.23,23.57,0.16,0.13,0.05,288.78,145.22,None,,
39976,2021090900,2279,35441.0,5,2021-09-10T01:58:48.300,93.0,TB,right,89.22,23.565,0.16,0.13,0.05,288.78,145.22,None,,
39977,2021090900,2279,35441.0,6,2021-09-10T01:58:48.400,93.0,TB,right,89.21,23.56,0.13,0.53,0.03,288.78,180.32,None,,
39978,2021090900,2279,35441.0,7,2021-09-10T01:58:48.500,93.0,TB,right,89.16,23.54,0.25,0.87,0.05,287.14,224.31,None,,
39978,2021090900,2279,35441.0,8,2021-09-10T01:58:48.500,93.0,TB,right,89.13499999999999,23.53,0.25,0.87,0.05,287.14,224.31,None,,
39979,2021090900,2279,35441.0,9,2021-09-10T01:58:48.600,93.0,TB,right,89.11,23.52,0.47,1.46,0.06,287.14,244.62,ball_snap,,
39980,2021090900,2279,35441.0,10,2021-09-10T01:58:48.700,93.0,TB,right,89.02,23.52,0.81,2.22,0.09,293.67,259.68,None,,
39980,2021090900,2279,35441.0,11,2021-09-10T01:58:48.700,93.0,TB,right,88.965,23.51,0.81,2.22,0.09,293.67,259.68,None,,
39981,2021090900,2279,35441.0,12,2021-09-10T01:58:48.800,93.0,TB,right,88.91,23.5,1.17,2.69,0.11,284.2,264.01,None,,
39982,2021090900,2279,35441.0,13,2021-09-10T01:58:48.900,93.0,TB,right,88.72,23.5,1.78,2.78,0.19,272.13,269.18,None,,
39982,2021090900,2279,35441.0,14,2021-09-10T01:58:48.900,93.0,TB,right,88.61500000000001,23.5,1.78,2.78,0.19,272.13,269.18,None,,
39983,2021090900,2279,35441.0,15,2021-09-10T01:58:49.000,93.0,TB,right,88.51,23.5,2.15,2.22,0.21,277.97,269.68,None,,
39984,2021090900,2279,35441.0,16,2021-09-10T01:58:49.100,93.0,TB,right,88.22,23.52,2.68,1.99,0.29,285.06,273.22,None,,
39984,2021090900,2279,35441.0,17,2021-09-10T01:58:49.100,93.0,TB,right,88.055,23.54,2.68,1.99,0.29,285.06,273.22,None,,
39985,2021090900,2279,35441.0,18,2021-09-10T01:58:49.200,93.0,TB,right,87.89,23.56,3.11,1.71,0.33,279.96,275.29,None,,
39986,2021090900,2279,35441.0,19,2021-09-10T01:58:49.300,93.0,TB,right,87.5,23.61,3.53,1.48,0.39,269.65,276.97,None,,
39986,2021090900,2279,35441.0,20,2021-09-10T01:58:49.300,93.0,TB,right,87.315,23.635,3.53,1.48,0.39,269.65,276.97,None,,
39987,2021090900,2279,35441.0,21,2021-09-10T01:58:49.400,93.0,TB,right,87.13,23.66,3.7,0.82,0.38,272.6,277.42,None,,
39988,2021090900,2279,35441.0,22,2021-09-10T01:58:49.500,93.0,TB,right,86.7,23.69,3.96,0.35,0.43,284.24,276.86,None,,
39988,2021090900,2279,35441.0,23,2021-09-10T01:58:49.500,93.0,TB,right,86.48,23.72,3.96,0.35,0.43,284.24,276.86,None,,
39989,2021090900,2279,35441.0,24,2021-09-10T01:58:49.600,93.0,TB,right,86.26,23.75,4.15,0.13,0.45,282.91,276.99,None,,
39990,2021090900,2279,35441.0,25,2021-09-10T01:58:49.700,93.0,TB,right,85.76,23.83,4.46,0.24,0.5,267.42,277.99,None,,
39990,2021090900,2279,35441.0,26,2021-09-10T01:58:49.700,93.0,TB,right,85.52000000000001,23.86,4.46,0.24,0.5,267.42,277.99,None,,
39991,2021090900,2279,35441.0,27,2021-09-10T01:58:49.800,93.0,TB,right,85.28,23.89,4.56,0.57,0.48,267.42,278.08,None,,
39992,2021090900,2279,35441.0,28,2021-09-10T01:58:49.900,93.0,TB,right,84.77,23.9,4.71,0.81,0.51,275.19,274.88,None,,
39992,2021090900,2279,35441.0,29,2021-09-10T01:58:49.900,93.0,TB,right,84.535,23.915,4.71,0.81,0.51,275.19,274.88,None,,
39993,2021090900,2279,35441.0,30,2021-09-10T01:58:50.000,93.0,TB,right,84.3,23.93,4.68,0.94,0.47,272.07,274.04,None,,
39994,2021090900,2279,35441.0,31,2021-09-10T01:58:50.100,93.0,TB,right,83.81,23.96,4.75,1.06,0.49,277.92,272.82,None,,
39994,2021090900,2279,35441.0,32,2021-09-10T01:58:50.100,93.0,TB,right,83.56,23.975,4.75,1.06,0.49,277.92,272.82,None,,
39995,2021090900,2279,35441.0,33,2021-09-10T01:58:50.200,93.0,TB,right,83.31,23.99,4.88,0.89,0.51,279.77,272.61,None,,
39996,2021090900,2279,35441.0,34,2021-09-10T01:58:50.300,93.0,TB,right,82.8,24.04,4.89,1.24,0.5,281.54,273.6,None,,
39996,2021090900,2279,35441.0,35,2021-09-10T01:58:50.300,93.0,TB,right,82.56,24.06,4.89,1.24,0.5,281.54,273.6,None,,
39997,2021090900,2279,35441.0,36,2021-09-10T01:58:50.400,93.0,TB,right,82.32,24.08,4.78,1.7,0.49,283.82,274.28,None,,
39998,2021090900,2279,35441.0,37,2021-09-10T01:58:50.500,93.0,TB,right,81.85,24.13,4.6,2.19,0.47,283.82,275.55,None,,
39998,2021090900,2279,35441.0,38,2021-09-10T01:58:50.500,93.0,TB,right,81.62,24.165,4.6,2.19,0.47,283.82,275.55,None,,
39999,2021090900,2279,35441.0,39,2021-09-10T01:58:50.600,93.0,TB,right,81.39,24.2,4.47,2.43,0.46,285.54,278.01,None,,
40000,2021090900,2279,35441.0,40,2021-09-10T01:58:50.700,93.0,TB,right,80.95,24.27,4.31,2.58,0.45,292.27,280.09,None,,
40000,2021090900,2279,35441.0,41,2021-09-10T01:58:50.700,93.0,TB,right,80.74000000000001,24.325,4.31,2.58,0.45,292.27,280.09,None,,
40001,2021090900,2279,35441.0,42,2021-09-10T01:58:50.800,93.0,TB,right,80.53,24.38,4.15,2.81,0.43,298.77,284.36,None,,
40002,2021090900,2279,35441.0,43,2021-09-10T01:58:50.900,93.0,TB,right,80.15,24.49,3.88,2.98,0.4,308.92,287.44,None,,
40002,2021090900,2279,35441.0,44,2021-09-10T01:58:50.900,93.0,TB,right,79.97,24.55,3.88,2.98,0.4,308.92,287.44,None,,
40003,2021090900,2279,35441.0,45,2021-09-10T01:58:51.000,93.0,TB,right,79.79,24.61,3.68,2.84,0.39,321.04,288.91,None,,
40004,2021090900,2279,35441.0,46,2021-09-10T01:58:51.100,93.0,TB,right,79.44,24.73,3.51,2.68,0.37,342.1,290.68,None,,
40004,2021090900,2279,35441.0,47,2021-09-10T01:58:51.100,93.0,TB,right,79.28,24.795,3.51,2.68,0.37,342.1,290.68,None,,
40005,2021090900,2279,35441.0,48,2021-09-10T01:58:51.200,93.0,TB,right,79.12,24.86,3.27,2.58,0.34,9.91,291.88,None,,
40006,2021090900,2279,35441.0,49,2021-09-10T01:58:51.300,93.0,TB,right,78.84,24.96,2.92,2.71,0.29,38.56,292.14,None,,
40006,2021090900,2279,35441.0,50,2021-09-10T01:58:51.300,93.0,TB,right,78.705,25.01,2.92,2.71,0.29,38.56,292.14,None,,
40007,2021090900,2279,35441.0,51,2021-09-10T01:58:51.400,93.0,TB,right,78.57,25.06,2.69,2.57,0.29,59.48,291.38,None,,
40008,2021090900,2279,35441.0,52,2021-09-10T01:58:51.500,93.0,TB,right,78.32,25.14,2.51,2.37,0.27,64.39,289.37,None,,
40008,2021090900,2279,35441.0,53,2021-09-10T01:58:51.500,93.0,TB,right,78.19999999999999,25.17,2.51,2.37,0.27,64.39,289.37,None,,
40009,2021090900,2279,35441.0,54,2021-09-10T01:58:51.600,93.0,TB,right,78.08,25.2,2.3,2.31,0.24,68.52,285.18,None,,
40010,2021090900,2279,35441.0,55,2021-09-10T01:58:51.700,93.0,TB,right,77.86,25.23,2.07,2.27,0.22,73.75,280.46,None,,
40010,2021090900,2279,35441.0,56,2021-09-10T01:58:51.700,93.0,TB,right,77.765,25.235,2.07,2.27,0.22,73.75,280.46,None,,
40011,2021090900,2279,35441.0,57,2021-09-10T01:58:51.800,93.0,TB,right,77.67,25.24,1.87,2.23,0.2,78.36,274.87,None,,
40012,2021090900,2279,35441.0,58,2021-09-10T01:58:51.900,93.0,TB,right,77.5,25.26,1.68,2.09,0.17,80.68,271.52,None,,
40012,2021090900,2279,35441.0,59,2021-09-10T01:58:51.900,93.0,TB,right,77.42,25.26,1.68,2.09,0.17,80.68,271.52,None,,
40013,2021090900,2279,35441.0,60,2021-09-10T01:58:52.000,93.0,TB,right,77.34,25.26,1.49,1.89,0.16,81.38,268.66,None,,
40014,2021090900,2279,35441.0,61,2021-09-10T01:58:52.100,93.0,TB,right,77.2,25.26,1.32,1.71,0.14,80.2,266.22,None,,
40014,2021090900,2279,35441.0,62,2021-09-10T01:58:52.100,93.0,TB,right,77.13499999999999,25.265,1.32,1.71,0.14,80.2,266.22,None,,
40015,2021090900,2279,35441.0,63,2021-09-10T01:58:52.200,93.0,TB,right,77.07,25.27,1.2,1.44,0.13,75.79,269.62,None,,
40016,2021090900,2279,35441.0,64,2021-09-10T01:58:52.300,93.0,TB,right,76.96,25.28,1.01,1.46,0.11,74.17,273.96,None,,
40016,2021090900,2279,35441.0,65,2021-09-10T01:58:52.300,93.0,TB,right,76.91499999999999,25.29,1.01,1.46,0.11,74.17,273.96,None,,
40017,2021090900,2279,35441.0,66,2021-09-10T01:58:52.400,93.0,TB,right,76.87,25.3,0.87,1.37,0.09,75.43,280.48,None,,
40018,2021090900,2279,35441.0,67,2021-09-10T01:58:52.500,93.0,TB,right,76.79,25.34,0.82,1.29,0.1,71.35,294.66,None,,
40018,2021090900,2279,35441.0,68,2021-09-10T01:58:52.500,93.0,TB,right,76.77000000000001,25.375,0.82,1.29,0.1,71.35,294.66,None,,
40019,2021090900,2279,35441.0,69,2021-09-10T01:58:52.600,93.0,TB,right,76.75,25.41,0.73,1.4,0.08,57.75,314.99,None,,
40020,2021090900,2279,35441.0,70,2021-09-10T01:58:52.700,93.0,TB,right,76.71,25.47,0.73,1.48,0.07,49.98,329.56,None,,
40020,2021090900,2279,35441.0,71,2021-09-10T01:58:52.700,93.0,TB,right,76.69999999999999,25.505,0.73,1.48,0.07,49.98,329.56,None,,
40021,2021090900,2279,35441.0,72,2021-09-10T01:58:52.800,93.0,TB,right,76.69,25.54,0.77,1.43,0.08,42.31,343.45,None,,
40022,2021090900,2279,35441.0,73,2021-09-10T01:58:52.900,93.0,TB,right,76.69,25.62,0.81,1.3,0.08,36.14,357.52,None,,
40022,2021090900,2279,35441.0,74,2021-09-10T01:58:52.900,93.0,TB,right,76.69,25.66,0.81,1.3,0.08,36.14,357.52,None,,
40023,2021090900,2279,35441.0,75,2021-09-10T01:58:53.000,93.0,TB,right,76.69,25.7,0.85,1.05,0.08,28.11,5.54,None,,
40024,2021090900,2279,35441.0,76,2021-09-10T01:58:53.100,93.0,TB,right,76.71,25.79,0.88,0.91,0.09,22.84,14.21,None,,
40024,2021090900,2279,35441.0,77,2021-09-10T01:58:53.100,93.0,TB,right,76.72,25.83,0.88,0.91,0.09,22.84,14.21,None,,
